fips,county_name,state_name
1001,Autauga county,Alabama
1003,Baldwin county,Alabama
1005,Barbour county,Alabama
1007,Bibb county,Alabama
1009,Blount county,Alabama
1011,Bullock county,Alabama
1013,Butler county,Alabama
1015,Calhoun county,Alabama
1017,Chambers county,Alabama
1019,Cherokee county,Alabama
1021,Chilton county,Alabama
1023,Choctaw county,Alabama
1025,Clarke county,Alabama
1027,Clay county,Alabama
1029,Cleburne county,Alabama
1031,Coffee county,Alabama
1033,Colbert county,Alabama
1035,Conecuh county,Alabama
1037,Coosa county,Alabama
1039,Covington county,Alabama
1041,Crenshaw county,Alabama
1043,Cullman county,Alabama
1045,Dale county,Alabama
1047,Dallas county,Alabama
1049,DeKalb county,Alabama
1051,Elmore county,Alabama
1053,Escambia county,Alabama
1055,Etowah county,Alabama
1057,Fayette county,Alabama
1059,Franklin county,Alabama
1061,Geneva county,Alabama
1063,Greene county,Alabama
1065,Hale county,Alabama
1067,Henry county,Alabama
1069,Houston county,Alabama
1071,Jackson county,Alabama
1073,Jefferson county,Alabama
1075,Lamar county,Alabama
1077,Lauderdale count,Alabama
1079,Lawrence county,Alabama
1081,Lee county,Alabama
1083,Limestone county,Alabama
1085,Lowndes county,Alabama
1087,Macon county,Alabama
1089,Madison county,Alabama
1091,Marengo county,Alabama
1093,Marion county,Alabama
1095,Marshall county,Alabama
1097,Mobile county,Alabama
1099,Monroe county,Alabama
1101,Montgomery count,Alabama
1103,Morgan county,Alabama
1105,Perry county,Alabama
1107,Pickens county,Alabama
1109,Pike county,Alabama
1111,Randolph county,Alabama
1113,Russell county,Alabama
1115,St Clair county,Alabama
1117,Shelby county,Alabama
1119,Sumter county,Alabama
1121,Talladega county,Alabama
1123,Tallapoosa count,Alabama
1125,Tuscaloosa count,Alabama
1127,Walker county,Alabama
1129,Washington count,Alabama
1131,Wilcox county,Alabama
1133,Winston county,Alabama
2013,Aleutians East B,Alaska
2016,Aleutians West C,Alaska
2020,Anchorage Boroug,Alaska
2050,Bethel Census Ar,Alaska
2060,Bristol Bay Boro,Alaska
2068,Denali Borough,Alaska
2070,Dillingham Censu,Alaska
2090,Fairbanks North ,Alaska
2100,Haines Borough,Alaska
2110,Juneau Borough,Alaska
2122,Kenai Peninsula ,Alaska
2130,Ketchikan Gatewa,Alaska
2150,Kodiak Island Bo,Alaska
2164,Lake and Peninsu,Alaska
2170,Matanuska-Susitn,Alaska
2180,Nome Census Area,Alaska
2185,North Slope Boro,Alaska
2188,Northwest Arctic,Alaska
2201,Prince of Wales-,Alaska
2220,Sitka Borough,Alaska
2231,Skagway-Yakutat-,Alaska
2232,Skagway-Hoonah-A,Alaska
2240,Southeast Fairba,Alaska
2261,Valdez-Cordova C,Alaska
2270,Wade Hampton Cen,Alaska
2280,Wrangell-Petersb,Alaska
2282,Yakutat Borough,Alaska
2290,Yukon-Koyukuk Ce,Alaska
4001,Apache county,Arizona
4003,Cochise county,Arizona
4005,Coconino county,Arizona
4007,Gila county,Arizona
4009,Graham county,Arizona
4011,Greenlee county,Arizona
4012,La Paz county,Arizona
4013,Maricopa county,Arizona
4015,Mohave county,Arizona
4017,Navajo county,Arizona
4019,Pima county,Arizona
4021,Pinal county,Arizona
4023,Santa Cruz count,Arizona
4025,Yavapai county,Arizona
4027,Yuma county,Arizona
5001,Arkansas county,Arkansas
5003,Ashley county,Arkansas
5005,Baxter county,Arkansas
5007,Benton county,Arkansas
5009,Boone county,Arkansas
5011,Bradley county,Arkansas
5013,Calhoun county,Arkansas
5015,Carroll county,Arkansas
5017,Chicot county,Arkansas
5019,Clark county,Arkansas
5021,Clay county,Arkansas
5023,Cleburne county,Arkansas
5025,Cleveland county,Arkansas
5027,Columbia county,Arkansas
5029,Conway county,Arkansas
5031,Craighead county,Arkansas
5033,Crawford county,Arkansas
5035,Crittenden count,Arkansas
5037,Cross county,Arkansas
5039,Dallas county,Arkansas
5041,Desha county,Arkansas
5043,Drew county,Arkansas
5045,Faulkner county,Arkansas
5047,Franklin county,Arkansas
5049,Fulton county,Arkansas
5051,Garland county,Arkansas
5053,Grant county,Arkansas
5055,Greene county,Arkansas
5057,Hempstead county,Arkansas
5059,Hot Spring count,Arkansas
5061,Howard county,Arkansas
5063,Independence cou,Arkansas
5065,Izard county,Arkansas
5067,Jackson county,Arkansas
5069,Jefferson county,Arkansas
5071,Johnson county,Arkansas
5073,Lafayette county,Arkansas
5075,Lawrence county,Arkansas
5077,Lee county,Arkansas
5079,Lincoln county,Arkansas
5081,Little River cou,Arkansas
5083,Logan county,Arkansas
5085,Lonoke county,Arkansas
5087,Madison county,Arkansas
5089,Marion county,Arkansas
5091,Miller county,Arkansas
5093,Mississippi coun,Arkansas
5095,Monroe county,Arkansas
5097,Montgomery count,Arkansas
5099,Nevada county,Arkansas
5101,Newton county,Arkansas
5103,Ouachita county,Arkansas
5105,Perry county,Arkansas
5107,Phillips county,Arkansas
5109,Pike county,Arkansas
5111,Poinsett county,Arkansas
5113,Polk county,Arkansas
5115,Pope county,Arkansas
5117,Prairie county,Arkansas
5119,Pulaski county,Arkansas
5121,Randolph county,Arkansas
5123,St. Francis coun,Arkansas
5125,Saline county,Arkansas
5127,Scott county,Arkansas
5129,Searcy county,Arkansas
5131,Sebastian county,Arkansas
5133,Sevier county,Arkansas
5135,Sharp county,Arkansas
5137,Stone county,Arkansas
5139,Union county,Arkansas
5141,Van Buren county,Arkansas
5143,Washington count,Arkansas
5145,White county,Arkansas
5147,Woodruff county,Arkansas
5149,Yell county,Arkansas
6001,Alameda county,California
6003,Alpine county,California
6005,Amador county,California
6007,Butte county,California
6009,Calaveras county,California
